Province,Population,Electors/Électeurs,Valid Ballots/Bulletins valides,Percentage of Valid Ballots /Pourcentage des bulletins valides,Rejected Ballots/Bulletins rejetés,Percentage of Rejected Ballots /Pourcentage des bulletins rejetés,Total Ballots Cast/Total des bulletins déposés,Percentage of Voter Turnout/Pourcentage de la participation électorale
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",519716,420067,243278,98.5,3611,1.5,246889,58.8
"Prince Edward Island/Île-du-Prince-Édouard",142907,116721,85294,98.8,1068,1.2,86362,74
"Nova Scotia/Nouvelle-Écosse",923598,771411,533922,99.1,4816,.9,538738,69.8
"New Brunswick/Nouveau-Brunswick",747101,616704,439810,99,4546,1,444356,72.1
"Quebec/Québec",8164361,6482847,4284338,98.3,75692,1.7,4360030,67.3
"Ontario",13448494,10484419,6892217,99.2,55590,.8,6947807,66.3
"Manitoba",1278365,927347,592239,99.4,3759,.6,595998,64.3
"Saskatchewan",1098352,807984,582630,99.3,3906,.7,586536,72.6
"Alberta",4067175,3023980,2082961,99.5,11020,.5,2093981,69.2
"British Columbia/Colombie-Britannique",4648055,3641258,2387429,99.4,15125,.6,2402554,66
"Yukon",35874,29591,21017,99.4,133,.6,21150,71.5
"Northwest Territories/Territoires du Nord-Ouest",41786,30704,16291,99.2,125,.8,16416,53.5
"Nunavut",35944,20025,9454,99.1,88,.9,9542,47.7
