Political affiliation/Appartenance politique,N.L. Percentage of Valid Votes/Pourcentage des votes valides T.-N.-L.,P.E.I. Percentage of Valid Votes/Pourcentage des votes valides Î.-P.-É.,N.S. Percentage of Valid Votes/Pourcentage des votes valides N.-É.,N.B. Percentage of Valid Votes/Pourcentage des votes valides N.-B.,Que. Percentage of Valid Votes/Pourcentage des votes valides Qc,Ont. Percentage of Valid Votes/Pourcentage des votes valides Ont.,Man. Percentage of Valid Votes/Pourcentage des votes valides Man.,Sask. Percentage of Valid Votes/Pourcentage des votes valides Sask.,Alta. Percentage of Valid Votes/Pourcentage des votes valides Alb.,B.C. Percentage of Valid Votes/Pourcentage des votes valides C.-B.,Y.T. Percentage of Valid Votes/Pourcentage des votes valides Yn,N.W.T. Percentage of Valid Votes/Pourcentage des votes valides T.N.-O.,Nun. Percentage of Valid Votes/Pourcentage des votes valides Nt,Total
"Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bloc Québécois/Bloc Québécois",0,0,0,0,32.1,0,0,0,0,0,0,0,0,7.6
"Canada's Fourth Front/Quatrième front du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canadian Nationalist Party/Parti Nationaliste Canadien",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centrist Party of Canada/Parti Centriste du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",0,.2,0,0,0,.1,.1,0,.1,.1,0,0,0,.1
"Communist Party of Canada/Parti communiste du Canada",0,0,.1,0,0,0,.1,0,0,.1,0,0,0,0
"Conservative Party of Canada/Parti conservateur du Canada",32.5,31.6,29.5,33.6,18.7,34.9,39.2,59.1,55.4,33.1,26.3,14.4,16.5,33.7
"Free Party Canada/Parti Libre Canada",0,0,0,.6,1.1,0,0,0,0,0,0,0,0,.3
"Green Party of Canada/Le Parti Vert du Canada",0,9.5,1.8,5.1,1.5,2.2,1.6,1.1,.9,5.4,4.4,2.3,0,2.3
"Liberal Party of Canada/Parti libéral du Canada",47.8,46.2,42.4,42.5,33.7,39.3,28,10.6,15.4,26.9,33.3,38.2,35.9,32.6
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,0,.1,0,0,.1,0,.1,0,0,0,0,0
"Marijuana Party/Parti Marijuana",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maverick Party/Maverick Party",0,0,0,0,0,0,.1,1.4,1.3,.1,0,0,0,.2
"National Citizens Alliance of Canada/Alliance Nationale des Citoyens du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Democratic Party/Nouveau Parti démocratique",17.3,9.2,22.1,11.9,9.8,17.9,23,21.1,19.1,29.3,22.4,32.3,47.7,17.8
"Parti Patriote/Parti Patriote",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parti pour l'Indépendance du Québec/Parti pour l'Indépendance du Québec",0,0,0,0,.1,0,0,0,0,0,0,0,0,0
"Parti Rhinocéros Party/Parti Rhinocéros Party",0,0,0,0,.1,0,0,0,0,0,0,0,0,0
"People's Party of Canada/Parti populaire du Canada",2.4,3.3,4,6.1,2.7,5.4,7.6,6.6,7.3,4.9,0,0,0,4.9
"Veterans Coalition Party of Canada/Parti de la coalition des anciens combattants du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Independent/Indépendant(e)",0,0,.1,.2,.1,.1,.3,.1,.1,.1,13.6,12.7,0,.2
"No Affiliation/Aucune appartenance",0,0,0,0,.1,0,0,0,.1,0,0,0,0,0
