Political affiliation/Appartenance politique,N.L. Percentage of Valid Votes/Pourcentage des votes valides T.-N.-L.,P.E.I. Percentage of Valid Votes/Pourcentage des votes valides Î.-P.-É.,N.S. Percentage of Valid Votes/Pourcentage des votes valides N.-É.,N.B. Percentage of Valid Votes/Pourcentage des votes valides N.-B.,Que. Percentage of Valid Votes/Pourcentage des votes valides Qc,Ont. Percentage of Valid Votes/Pourcentage des votes valides Ont.,Man. Percentage of Valid Votes/Pourcentage des votes valides Man.,Sask. Percentage of Valid Votes/Pourcentage des votes valides Sask.,Alta. Percentage of Valid Votes/Pourcentage des votes valides Alb.,B.C. Percentage of Valid Votes/Pourcentage des votes valides C.-B.,Y.T. Percentage of Valid Votes/Pourcentage des votes valides Yn,N.W.T. Percentage of Valid Votes/Pourcentage des votes valides T.N.-O.,Nun. Percentage of Valid Votes/Pourcentage des votes valides Nt,Total
"Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada",0,0,0,.1,0,0,0,0,0,0,0,0,0,0
"Bloc Québécois/Bloc Québécois",0,0,0,0,32.4,0,0,0,0,0,0,0,0,7.6
"Canada's Fourth Front/Quatrième front du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canadian Nationalist Party/Parti Nationaliste Canadien",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",.1,.5,0,.1,0,.1,.5,.1,.2,.1,0,0,0,.1
"Communist Party of Canada/Parti communiste du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conservative Party of Canada/Parti conservateur du Canada",27.9,27.3,25.7,32.8,16,33.1,45.2,64,69,34,32.7,25.5,26.1,34.3
"Green Party of Canada/Le Parti Vert du Canada",3.1,20.9,11,17.2,4.5,6.2,5.1,2.6,2.8,12.5,10.5,10.6,2.2,6.5
"Liberal Party of Canada/Parti libéral du Canada",44.9,43.7,41.4,37.5,34.3,41.6,26.5,11.7,13.8,26.2,33.5,39.7,30.9,33.1
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,0,0,0,.1,0,0,0,.1,0,0,0,0
"Marijuana Party/Parti Marijuana",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"National Citizens Alliance of Canada/Alliance Nationale des Citoyens du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Democratic Party/Nouveau Parti démocratique",23.7,7.6,18.9,9.4,10.8,16.8,20.8,19.6,11.6,24.4,22,22.3,40.8,16
"Parti pour l'Indépendance du Québec/Parti pour l'Indépendance du Québec",0,0,0,0,.1,0,0,0,0,0,0,0,0,0
"Parti Rhinocéros Party/Parti Rhinocéros Party",0,0,0,0,.2,0,0,0,0,0,0,0,0,.1
"People's Party of Canada/Parti populaire du Canada",.1,0,1.2,2,1.5,1.6,1.7,1.8,2.2,1.7,1.4,1.8,0,1.6
"Progressive Canadian Party/Parti Progressiste Canadien",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stop Climate Change/Arrêtons le changement climatique",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The United Party of Canada/Parti Uni du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veterans Coalition Party of Canada/Parti de la coalition des anciens combattants du Canada",.2,0,.2,0,0,0,0,0,.1,0,0,0,0,0
"Independent/Indépendant(e)",0,0,1.5,.7,.2,.4,.2,.2,.1,.9,0,0,0,.4
"No Affiliation/Aucune appartenance",0,0,0,0,0,0,0,0,0,0,0,0,0,0
