Political affiliation/Appartenance politique,N.L. Valid Votes/Votes valides T.-N.-L.,P.E.I. Valid Votes/Votes valides Î.-P.-É.,N.S. Valid Votes/Votes valides N.-É.,N.B. Valid Votes/Votes valides N.-B.,Que. Valid Votes/Votes valides Qc,Ont. Valid Votes/Votes valides Ont.,Man. Valid Votes/Votes valides Man.,Sask. Valid Votes/Votes valides Sask.,Alta. Valid Votes/Votes valides Alb.,B.C. Valid Votes/Votes valides C.-B.,Y.T. Valid Votes/Votes valides Yn,N.W.T. Valid Votes/Votes valides T.N.-O.,Nun. Valid Votes/Votes valides Nt
"Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada",0,0,0,0,873,1187,213,0,0,273,0,0,0
"Bloc Québécois/Bloc Québécois",0,0,0,0,1301615,0,0,0,0,0,0,0,0
"Canada's Fourth Front/Quatrième front du Canada",0,0,0,0,52,0,0,0,0,53,0,0,0
"Canadian Nationalist Party/Parti Nationaliste Canadien",0,0,0,0,0,52,0,0,0,0,0,0,0
"Centrist Party of Canada/Parti Centriste du Canada",0,0,0,0,0,555,0,0,93,0,0,0,0
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",0,145,85,0,192,4154,712,195,2198,1304,0,0,0
"Communist Party of Canada/Parti communiste du Canada",0,0,336,158,399,1487,343,100,497,1380,0,0,0
"Conservative Party of Canada/Parti conservateur du Canada",70783,26673,144315,133678,756412,2251826,224682,304698,1075638,750394,5096,2031,1184
"Free Party Canada/Parti Libre Canada",0,0,0,2217,44214,821,0,0,0,0,0,0,0
"Green Party of Canada/Le Parti Vert du Canada",0,8048,8902,20162,61488,142678,9435,5699,17483,121919,846,328,0
"Liberal Party of Canada/Parti libéral du Canada",104240,39046,207237,168945,1364485,2535222,160206,54731,299493,608588,6471,5387,2578
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,0,234,0,2095,373,0,1232,831,0,0,0
"Marijuana Party/Parti Marijuana",0,0,0,0,1901,130,0,0,0,0,0,0,0
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,127,0,1669,1165,0,0,893,678,0,0,0
"Maverick Party/Maverick Party",0,0,0,0,0,0,339,7279,25670,1890,0,0,0
"National Citizens Alliance of Canada/Alliance Nationale des Citoyens du Canada",0,0,0,0,0,358,0,0,118,0,0,0,0
"New Democratic Party/Nouveau Parti démocratique",37743,7802,107832,47353,395401,1153119,131591,108720,370394,664054,4354,4558,3427
"Parti Patriote/Parti Patriote",0,0,0,0,244,0,0,0,0,0,0,0,0
"Parti pour l'Indépendance du Québec/Parti pour l'Indépendance du Québec",0,0,0,0,2934,0,0,0,0,0,0,0,0
"Parti Rhinocéros Party/Parti Rhinocéros Party",0,0,65,0,3926,926,80,0,829,259,0,0,0
"People's Party of Canada/Parti populaire du Canada",5150,2748,19365,24346,108744,350150,43519,33969,142479,110523,0,0,0
"Veterans Coalition Party of Canada/Parti de la coalition des anciens combattants du Canada",0,0,0,0,216,255,17,0,758,0,0,0,0
"Independent/Indépendant(e)",0,0,643,708,4193,8378,1660,433,2721,2439,2639,1791,0
"No Affiliation/Aucune appartenance",0,0,0,0,4283,0,0,0,2593,0,0,0,0
